category_id,parent_id,category_name
2,,Телефоны и аксессуары
3,2,Зарядные устройства и адаптеры
4,,Бытовая техника
5,,Климатическая техника
1,,Техника и электроника
88,1,Вентиляторы
98,5,Водонагреватели
163,5,Инфракрасные обогреватели
26,,Оборудование для рекламы
106,26,Тепловентиляторы
126,5,Термометры и гигрометры
6,5,Увлажнители и очистители воздуха
14,4,"Красота, здоровье и уход"
149,14,Бытовые напольные весы
27,26,Рекламные экраны и комплектующие
28,25,Офисные принадлежности
81,28,Женские эпиляторы и электробритвы
16,,"Массажеры,тренажеры, корректоры для тела"
136,14,Мужские электробритвы
15,5,Приборы для маникюра и педикюра
74,,Приборы для укладки волос
138,14,Триммеры и машинки для стрижки волос
212,14,Фены для волос
44,4,Техника для кухни
129,44,Блендеры
134,44,Бутербродницы и вафельницы
18,,Постельные принадлежности
19,18,"Матрасы, электрические простыни, одеяла"
46,19,Декор
75,46,Бытовые вакуумные упаковщики
150,44,Бытовые кухонные плиты
168,44,Бытовые миксеры
140,44,Весы кухонные
151,44,Грили и электрошашлычницы
175,44,Кофеварки и кофемашины
174,44,Кофемолки
182,44,Микроволновые печи
185,44,Мультиварки
187,44,Мясорубки
45,,Прочая мелкая техника
208,44,Соковыжималки
211,44,Тостеры
213,44,Фритюрницы
205,44,Электрочайники и термопоты
101,4,Товары по уходу за домом и одеждой
137,101,Машинки для удаления катышков с одежды
92,,Железные дороги и роботы трансформеры
93,92,Товары для туризма и путешествий
94,93,Фонари и аксессуары
102,94,Пылесосы и пароочистители
194,101,Пятновыводители и отбеливатели
203,101,Стиральные машины
210,101,Сушилки для обуви
141,101,Утюги и гладильные системы
200,101,Швейная техника и аксессуары
17,,Дом и сад
58,,Все для сада
59,46,Садовые принадлежности
202,46,Интерьерные доски для надписей
76,46,Лампочки
95,94,Настольные лампы и ночники
47,46,Праздничное освещение
87,46,Уличное освещение
154,46,Часы для дома
112,17,Зоотовары
181,112,Инструменты для груминга
113,,"Туалеты, наполнители и аксессуары"
30,17,Посуда для дома
166,30,"Кастрюли, ковши"
31,1,Кухонные принадлежности
177,30,Ножи и овощерезки
204,30,Сковороды
139,30,Термосы и термокружки
206,30,Формы для выпечки
40,,"Чашки, бутылки для напитков"
85,17,Уход за домом
183,85,Аксессуары для мытья посуды
186,85,Ведра и корзины
116,85,"Каркасы, ножки и опоры"
190,85,Органайзеры для хранения
97,94,Отпугиватели животных
135,85,Отпугиватели и ловушки для насекомых
86,40,Сантехника
179,85,Швабры и запасные насадки
32,,Инструменты и автотовары
33,1,Автозапчасти
20,19,Аудиотехника и аксессуары
69,20,Автоаксессуары
34,18,Автомобильные лампы
61,34,Аксессуары и украшения
119,61,Автомобильные аккумуляторы
35,32,Автомобильная электроника
41,5,FM-трансмиттеры
57,46,GPS-навигаторы
104,1,Автомагнитолы
103,1,Автомобильная акустика
105,5,Автомобильные адаптеры питания
107,106,Аксессуары и фурнитура для окон и дверей
108,107,Автомобильные антенны
114,20,Автомобильные инверторы
36,,"Автомобильные камеры, видеорегистраторы"
109,26,Автосигнализации
37,35,Автосканеры
191,35,Парковочные системы
83,32,Инструменты и оборудование
125,83,Генераторы
128,83,Измерительно-разметочный инструмент
84,20,Ручной инструмент
142,32,Клеящие вещества и герметики
156,142,Клеевые пистолеты и аксессуары
143,142,Клейкая лента и скотч
170,32,Техпомощь
171,170,Автокомпрессоры
99,32,Электромонтажное оборудование
100,99,Розетки и удлинители
50,,Красота и здоровье
51,50,Декоративная косметика
161,51,Аксессуары для волос
52,20,Аксессуары для макияжа
120,50,Интимные товары
121,120,Интимные игрушки
146,50,Стоматологические материалы
147,146,Уход за полостью рта
117,50,Товары медицинского назначения
189,117,Медицинская техника
178,117,Медицинские маски
124,117,Медицинские приборы
118,117,Прочие медицинские принадлежности
60,,"Одежда, обувь и аксессуары"
162,61,Зонты
148,61,Кошельки и портмоне
62,61,Очки
201,61,Сумки и рюкзаки
67,46,Одежда и обувь
68,46,"Одежда, общее"
54,,Спорт и отдых
131,54,Музыкальное оборудование
132,131,Микрофоны
157,54,Световое оборудование
158,157,Освещение для концертов и шоу
70,,Спортивные товары
71,,Одежда и обувь для спорта
73,46,Фитнес и аэробика
130,93,"Бинокли, телескопы, рации"
160,93,Зажигалки и аксессуары
207,93,Складная мебель
180,93,Товары для рыбалки
193,93,Туристические горелки
55,46,Электротранспорт
56,,Сигвеи и гироскутеры
8,1,TV и видеотехника
133,8,TV-тюнеры и FM-тюнеры
192,8,Патч-корды
38,19,Игрушки
53,38,Проекторы
9,,Телевизионные антенны
22,,Телевизоры и аксессуары
