offer_id,param_name,param_value
НФ-00002943,Количество в ящике,40
НФ-00002943,Производитель,RXStyle
НФ-00002943,Состояние,Новое
НФ-00002943,Страна производитель,Китай
НФ-00002943,Страна регистрации бренда,Китай
НФ-00002943,Рисунок на корпусе,Нет
НФ-00002943,Цвет,Разные цвета
НФ-00002943,Цвет корпуса,Разные цвета
НФ-00002946,Количество в ящике,500
НФ-00002946,Состояние,Новое
НФ-00002946,Страна производитель,Китай
НФ-00002946,Страна регистрации бренда,Китай
НФ-00002946,Вес (г),10
НФ-00002946,Вид брелка,Автомобильный|Для гостиниц
НФ-00002946,Длина (мм),52
НФ-00002946,Количество в упаковке (шт.),1
НФ-00002946,Материал,Пластик
НФ-00002946,Покрытие,Без покрытия
НФ-00002946,Пол,Унисекс
НФ-00002946,Толщина (мм),11
НФ-00002946,Форма,Овальная
НФ-00002946,Цвет,Черный
НФ-00002946,Ширина (мм),31
НФ-00007209,Количество в ящике,120
НФ-00007209,Производитель,Xmas
НФ-00007209,Состояние,Новое
НФ-00007209,Страна производитель,Китай
НФ-00007209,Страна регистрации бренда,Китай
НФ-00007209,Длина (мм),2000
НФ-00007209,Количество режимов свечения,4
НФ-00007209,Количество светодиодов (шт.),30
НФ-00007209,Напряжение (В),12
НФ-00007209,Режим работы,Динамический
НФ-00007209,Срок службы (час),100000
НФ-00007209,Степень защиты IP,IP20
НФ-00007209,Тип гирлянды,Нить комнатная
НФ-00007209,Тип освещения,Светодиодная лента
НФ-00007209,Тип питания,Сеть
НФ-00007209,Тип светодиодов,SMD5050
НФ-00007209,Угол свечения (град.),120
НФ-00007209,Упаковка,Катушка
НФ-00007209,Цвет свечения,Мультиколор
НФ-00007209,Цвет шнура питания,Черный
НФ-00000026,Количество в ящике,60
НФ-00000026,Состояние,Новое
НФ-00000026,Страна производитель,Китай
НФ-00000026,Страна регистрации бренда,Китай
НФ-00000026,Автономное питание,Есть
НФ-00000026,Датчик удара,Нет
НФ-00000026,Интерфейс подключения к источнику,AV-выход
НФ-00000026,Количество камер,1
НФ-00000026,Комплектация видеорегистратора,автомобильное крепление
НФ-00000026,Максимальная частота кадров видео,30 кадров/с
НФ-00000026,Наличие GPS,Нет
НФ-00000026,Поворотный экран,Нет
НФ-00000026,Поддерживаемые форматы флэш-карт,microSD
НФ-00000026,Разрешение записи,1920x1080
НФ-00000026,Режим записи,Непрерывная
НФ-00000026,"Режим съемки ""День/ночь""",Да
НФ-00000026,Сенсорный экран,Нет
НФ-00000026,Тип матрицы,CMOS
НФ-00000026,Угол обзора (град.),140
НФ-00000026,Формат сжатия,AVI
НФ-00000026,Функция автозаписи,Да
НФ-00002484,Количество в ящике,500
НФ-00002484,Состояние,Новое
НФ-00002484,Страна производитель,Китай
НФ-00002484,Страна регистрации бренда,Китай
НФ-00002484,Вход/Выход,USB
НФ-00002484,Тип,Цифровое
НФ-00000867,Количество в ящике,24
НФ-00000867,Состояние,Новое
НФ-00000867,Страна производитель,Китай
НФ-00000867,Страна регистрации бренда,Китай
НФ-00000867,Мощность (Вт),36
НФ-00000867,Напряжение питания,12|24
НФ-00000867,Световой поток (лм),3800
НФ-00000867,Тип охлаждения,Активный
НФ-00000867,Цвет свечения,Холодный белый
НФ-00000867,Цветовая температура,6000К
НФ-00000867,Цоколь,Н3
НФ-00006010,Количество в ящике,200
НФ-00006010,Состояние,Новое
НФ-00006010,Страна производитель,Китай
НФ-00006010,Страна регистрации бренда,Китай
НФ-00006010,USB-интерфейс,Да
НФ-00006010,Дисплей,Да
НФ-00006010,Поддерживаемые форматы,WMA|MP3
НФ-00006010,Подключение устройства,Линейный вход AUX 3.5 мм
НФ-00006010,Пульт дистанционного управления,Нет
НФ-00006010,Слоты карты памяти,microSD
НФ-00000077,Количество в ящике,20
НФ-00000077,Состояние,Новое
НФ-00000077,Страна производитель,Китай
НФ-00000077,Страна регистрации бренда,Китай
НФ-00000077,Антивандальный корпус,Нет
НФ-00000077,Возможность смены объектива,Нет
НФ-00000077,Датчик движения,Нет
НФ-00000077,Изображение картинки,Цветная
НФ-00000077,Максимальная рабочая температура (град.),50
НФ-00000077,Минимальная рабочая температура (град.),15
НФ-00000077,Обнаружение движения,Нет
НФ-00000077,Питание,Сеть 220В
НФ-00000077,Подогрев корпуса,Нет
НФ-00000077,Приватные маски,Нет
НФ-00000077,Применение,Уличная
НФ-00000077,Распознавание номеров,Нет
НФ-00000077,"Режим съемки ""День/ночь""",Да
НФ-00000077,Тип камеры,IP
НФ-00000077,Форм-фактор,Корпусный
НФ-00007836,Количество в ящике,50
НФ-00007836,Состояние,Новое
НФ-00007836,Страна производитель,Китай
НФ-00007836,Страна регистрации бренда,Китай
НФ-00007836,Автономное питание,Есть
НФ-00007836,Диагональ экрана (дюйм),3
НФ-00007836,Интерфейс подключения к источнику,AV-выход
НФ-00007836,Количество камер,2
НФ-00007836,Комплектация видеорегистратора,автомобильное крепление
НФ-00007836,Максимальная частота кадров видео,30 кадров/с
НФ-00007836,Наличие GPS,Нет
НФ-00007836,Поворотный экран,Нет
НФ-00007836,Поддерживаемые форматы флэш-карт,microSD
НФ-00007836,Разрешение записи,1920x1080
НФ-00007836,Режим записи,Непрерывная
НФ-00007836,"Режим съемки ""День/ночь""",Да
НФ-00007836,Сенсорный экран,Нет
НФ-00007836,Тип матрицы,CMOS
НФ-00007836,Угол обзора (град.),170
НФ-00007836,Функция автозаписи,Да
НФ-00000050,Количество в ящике,30
НФ-00000050,Состояние,Новое
НФ-00000050,Страна производитель,Китай
НФ-00000050,Страна регистрации бренда,Китай
НФ-00000050,Датчик удара,Нет
НФ-00000050,Интерфейс подключения к источнику,USB
НФ-00000050,Количество камер,1
НФ-00000050,Комплектация видеорегистратора,автомобильное крепление
НФ-00000050,Наличие GPS,Нет
НФ-00000050,Поворотный экран,Нет
НФ-00000050,Поддерживаемые форматы флэш-карт,microSD
НФ-00000050,Разрешение записи,1920x1080
НФ-00000050,Режим записи,Непрерывная
НФ-00000050,"Режим съемки ""День/ночь""",Да
НФ-00000050,Сенсорный экран,Нет
НФ-00000050,Тип матрицы,CMOS
НФ-00000050,Угол обзора (град.),170
НФ-00000050,Формат сжатия,AVI
НФ-00000104,Количество в ящике,20
НФ-00000104,Состояние,Новое
НФ-00000104,Страна производитель,Китай
НФ-00000104,Страна регистрации бренда,Китай
НФ-00000104,SD-карта,Нет
НФ-00000104,Внутренняя память (GB),8
НФ-00000104,Держатель,Да
НФ-00000104,Диагональ экрана (дюйм),7
НФ-00000104,Игры,Нет
НФ-00000104,Максимальная рабочая температура (град.),50
НФ-00000104,Меню на русском,Да
НФ-00000104,Минимальная рабочая температура (град.),-20
НФ-00000104,Назначение,Автомобильный
НФ-00000104,Объем оперативной памяти (Мб),256
НФ-00000104,Операционная система,Windows CE
НФ-00000104,Питание,Аккумулятор
НФ-00000104,Программы навигации,Навител
НФ-00000104,Пульт дистанционного управления,Нет
НФ-00000104,Сенсорный экран,Да
НФ-00000104,Слоты карты памяти,microSD
НФ-00000104,Тип GPS,Портативный GPS
НФ-00000104,Тип упаковки,Картонная коробка
НФ-00000104,Функция видеорегистратора,Нет
НФ-00000104,Цветопередача ЖК дисплея,Цветная
НФ-00000104,Чипсет GPS,Media Tek (MTK)
НФ-00007835,Количество в ящике,100
НФ-00007835,Состояние,Новое
НФ-00007835,Страна производитель,Китай
НФ-00007835,Страна регистрации бренда,Китай
НФ-00007835,В комплект входит,AV-кабель|USB-кабель|Джойстики|Инструкция
НФ-00007835,Интерфейсы,USB|AV-выход
НФ-00007835,Линейки,PlayStation
НФ-00007835,Особенности,Поддержка HD
НФ-00007835,Питание,ААА
НФ-00007835,Сенсорный экран,Нет
НФ-00007835,Тип приставки,Стационарная
НФ-00007835,Цвет корпуса,Черный
НФ-00000107,Количество в ящике,20
НФ-00000107,Состояние,Новое
НФ-00000107,Страна производитель,Китай
НФ-00000107,Страна регистрации бренда,Китай
НФ-00000107,SD-карта,Нет
НФ-00000107,Внутренняя память (GB),8
НФ-00000107,Держатель,Да
НФ-00000107,Диагональ экрана (дюйм),7
НФ-00000107,Игры,Нет
НФ-00000107,Максимальная рабочая температура (град.),50
НФ-00000107,Меню на русском,Да
НФ-00000107,Минимальная рабочая температура (град.),-20
НФ-00000107,Назначение,Автомобильный
НФ-00000107,Объем оперативной памяти (Мб),256
НФ-00000107,Операционная система,Windows CE
НФ-00000107,Питание,Аккумулятор
НФ-00000107,Программы навигации,Навител
НФ-00000107,Пульт дистанционного управления,Нет
НФ-00000107,Сенсорный экран,Да
НФ-00000107,Слоты карты памяти,microSD
НФ-00000107,Тип GPS,Портативный GPS
НФ-00000107,Тип упаковки,Картонная коробка
НФ-00000107,Функция видеорегистратора,Нет
НФ-00000107,Цветопередача ЖК дисплея,Цветная
НФ-00000107,Чипсет GPS,Media Tek (MTK)
НФ-00000179,Количество в ящике,50
НФ-00000179,Состояние,Новое
НФ-00000179,Страна производитель,Китай
НФ-00000179,Страна регистрации бренда,Китай
НФ-00000179,Напряжение (В),220
НФ-00000179,Режим работы,Статический
НФ-00000179,Срок службы (час),100000
НФ-00000179,Тип гирлянды,Нить уличная|Нить комнатная
НФ-00000179,Тип освещения,Светодиодная лента
НФ-00000179,Тип питания,Сеть
НФ-00000179,Упаковка,Бухта
НФ-00000179,Форма лампочки,Классическая
НФ-00000179,Цвет свечения,Зеленый
НФ-00000179,Цвет шнура питания,Черный
НФ-00003413,Количество в ящике,100
НФ-00003413,Состояние,Новое
НФ-00003413,Страна производитель,Китай
НФ-00003413,Страна регистрации бренда,Китай
НФ-00007213,Количество в ящике,100
НФ-00007213,Производитель,Xmas
НФ-00007213,Состояние,Новое
НФ-00007213,Страна производитель,Китай
НФ-00007213,Страна регистрации бренда,Китай
НФ-00007213,Длина (мм),5000
НФ-00007213,Количество светодиодов (шт.),300
НФ-00007213,Напряжение (В),220
НФ-00007213,Режим работы,Динамический
НФ-00007213,Срок службы (час),100000
НФ-00007213,Степень защиты IP,IP65
НФ-00007213,Тип гирлянды,Нить уличная
НФ-00007213,Тип освещения,Светодиодная лента
НФ-00007213,Тип питания,Сеть
