offer_id,price,old_price,currency,availability
НФ-00002943,330.19,,UAH,true
НФ-00002946,46.1,,UAH,true
НФ-00007209,85.97,,UAH,true
НФ-00000026,5018.89,,UAH,true
НФ-00002484,79.13,,UAH,true
НФ-00000867,396.23,,UAH,true
НФ-00006010,59.19,,UAH,true
НФ-00000077,660.38,,UAH,true
НФ-00007836,858.49,,UAH,true
НФ-00000050,990.57,,UAH,true
НФ-00000104,2773.6,,UAH,true
НФ-00007835,719.57,,UAH,true
НФ-00000107,2773.6,,UAH,true
НФ-00000179,178.18,,UAH,true
НФ-00003413,237.99,,UAH,true
НФ-00007213,165.1,,UAH,true
НФ-00002195,138.94,,UAH,true
НФ-00007577,307.15,,UAH,true
НФ-00002990,330.19,,UAH,true
НФ-00002991,277.24,,UAH,true
НФ-00000533,82.87,,UAH,true
НФ-00007636,812.39,,UAH,true
НФ-00005112,1518.87,,UAH,true
НФ-00002702,3632.09,,UAH,true
НФ-00002708,5613.23,,UAH,true
НФ-00007402,158.24,,UAH,true
НФ-00002701,4622.66,,UAH,true
НФ-00005252,198.11,,UAH,true
НФ-00004270,39.87,,UAH,true
НФ-00008040,495.29,,UAH,true
НФ-00000507,13.09,,UAH,true
НФ-00005974,363.22,,UAH,true
НФ-00000217,901.49,,UAH,true
НФ-00003017,132.08,,UAH,true
НФ-00008004,1386.8,,UAH,true
НФ-00007927,1386.8,,UAH,true
НФ-00007274,792.46,,UAH,true
НФ-00007054,429.25,,UAH,true
НФ-00007055,429.25,,UAH,true
НФ-00007643,198.11,,UAH,true
НФ-00007644,198.11,,UAH,true
НФ-00007654,2641.52,,UAH,true
НФ-00007063,660.38,,UAH,true
НФ-00007557,39.87,,UAH,true
НФ-00007908,455.42,,UAH,true
НФ-00000207,495.29,,UAH,true
НФ-00007556,33.03,,UAH,true
НФ-00000209,495.29,,UAH,true
НФ-00007106,171.95,,UAH,true
НФ-00007555,33.03,,UAH,true
НФ-00007649,264.15,,UAH,true
НФ-00007097,85.97,,UAH,true
НФ-00007648,264.15,,UAH,true
НФ-00007558,66.04,,UAH,true
НФ-00007554,33.03,,UAH,true
НФ-00007553,33.03,,UAH,true
НФ-00007105,171.95,,UAH,true
НФ-00000206,429.25,,UAH,true
НФ-00007062,660.38,,UAH,true
НФ-00000210,495.29,,UAH,true
НФ-00000204,429.25,,UAH,true
НФ-00007098,85.97,,UAH,true
НФ-00007131,297.18,,UAH,true
НФ-00000307,455.42,,UAH,true
НФ-00007066,330.19,,UAH,true
НФ-00007115,198.11,,UAH,true
НФ-00000215,901.49,,UAH,true
НФ-00007909,330.19,,UAH,true
НФ-00007889,429.25,,UAH,true
НФ-00007126,185.04,,UAH,true
НФ-00007910,396.23,,UAH,true
НФ-00007144,396.23,,UAH,true
НФ-00007119,396.23,,UAH,true
НФ-00007142,396.23,,UAH,true
НФ-00000316,462.27,,UAH,true
НФ-00007611,330.19,,UAH,true
НФ-00000216,901.49,,UAH,true
НФ-00007146,396.23,,UAH,true
НФ-00007628,455.42,,UAH,true
НФ-00007145,396.23,,UAH,true
НФ-00007125,185.04,,UAH,true
НФ-00007159,356.36,,UAH,true
НФ-00007891,297.18,,UAH,true
НФ-00007630,627.37,,UAH,true
НФ-00007913,462.27,,UAH,true
НФ-00007590,363.22,,UAH,true
НФ-00007919,429.25,,UAH,true
НФ-00007065,330.19,,UAH,true
НФ-00007916,297.18,,UAH,true
НФ-00007592,363.22,,UAH,true
НФ-00007046,901.49,,UAH,true
НФ-00007069,901.49,,UAH,true
НФ-00007921,429.25,,UAH,true
НФ-00007920,429.25,,UAH,true
НФ-00007588,297.18,,UAH,true
НФ-00007914,462.27,,UAH,true
НФ-00007064,297.18,,UAH,true
НФ-00007917,165.1,,UAH,true
НФ-00007700,462.27,,UAH,true
НФ-00000545,647.3,,UAH,true
НФ-00007893,429.25,,UAH,true
НФ-00007892,515.23,,UAH,true
НФ-00007915,297.18,,UAH,true
НФ-00000732,495.29,,UAH,true
НФ-00000752,627.37,,UAH,true
НФ-00000886,132.08,,UAH,true
НФ-00000731,495.29,,UAH,true
НФ-00007678,858.49,,UAH,true
НФ-00000751,627.37,,UAH,true
НФ-00005276,165.1,,UAH,true
НФ-00000740,561.33,,UAH,true
НФ-00000764,990.57,,UAH,true
НФ-00000741,561.33,,UAH,true
НФ-00004969,792.46,,UAH,true
НФ-00006987,726.42,,UAH,true
НФ-00007359,3896.24,,UAH,true
НФ-00007983,5547.19,,UAH,true
НФ-00000772,1056.61,,UAH,true
НФ-00006986,726.42,,UAH,true
НФ-00007996,1386.8,,UAH,true
НФ-00006988,726.42,,UAH,true
НФ-00005365,1320.76,,UAH,true
НФ-00005364,1320.76,,UAH,true
НФ-00005137,528.3,,UAH,true
НФ-00000771,1056.61,,UAH,true
НФ-00005138,528.3,,UAH,true
НФ-00006990,726.42,,UAH,true
НФ-00007579,660.38,,UAH,true
НФ-00008051,561.33,,UAH,true
НФ-00000811,660.38,,UAH,true
НФ-00008050,561.33,,UAH,true
НФ-00000813,660.38,,UAH,true
НФ-00007838,475.36,,UAH,true
НФ-00000828,495.29,,UAH,true
НФ-00006049,79.13,,UAH,true
НФ-00007176,1155.67,,UAH,true
НФ-00008063,231.14,,UAH,true
НФ-00004578,1155.67,,UAH,true
НФ-00000854,495.29,,UAH,true
НФ-00002674,19.94,,UAH,true
НФ-00004990,89.1,,UAH,true
НФ-00001095,19.94,,UAH,true
НФ-00005242,178.18,,UAH,true
НФ-00005366,4952.85,,UAH,true
НФ-00007019,85.97,,UAH,true
НФ-00001129,44.24,,UAH,true
НФ-00006160,112.14,,UAH,true
НФ-00001107,59.19,,UAH,true
НФ-00001112,46.1,,UAH,true
НФ-00001032,28.04,,UAH,true
НФ-00006050,109.03,,UAH,true
НФ-00007018,59.19,,UAH,true
НФ-00001139,92.2,,UAH,true
НФ-00001121,82.87,,UAH,true
НФ-00001120,49.84,,UAH,true
НФ-00001109,59.19,,UAH,true
НФ-00004579,99.06,,UAH,true
НФ-00006051,109.03,,UAH,true
НФ-00001108,66.04,,UAH,true
НФ-00001122,79.13,,UAH,true
НФ-00001134,13.09,,UAH,true
НФ-00001115,19.94,,UAH,true
НФ-00005931,152.01,,UAH,true
НФ-00004949,82.87,,UAH,true
НФ-00001159,79.13,,UAH,true
